section,height,d13C,d18O
A24,16.9,-5.35,-5.96
A24,18,1.48,-6.01
A24,19,4.22,-3.79
A24,20.4,2.71,-3.99
A24,21,6.48,-3.16
A24,22,7.67,-1.29
A24,23,7.16,-1.92
A24,25,7.77,-2.83
A24,26,7.74,-3.46
A24,28,-2.28,-4.50
A24,29,5.45,-5.23
A24,30,-2.51,-5.98
A24,31,-4.33,-6.17
A24,32,3.27,-5.10
A24,43.5,-4.52,-6.89
A24,44.5,-4.18,-7.15
A24,45.5,-4.56,-8.73
A24,46,-2.98,-5.22
A24,59,-3.94,-4.39
A24,59.5,-5.21,-5.75
A24,69,-3.49,-5.09
A24,88,-2.78,-5.19
A24,90,-0.07,-4.97
A24,92,-2.18,-2.80
A24,94,-1.02,-3.28
A24,96,-1.40,-5.17
A24,98,-1.84,-5.76
A24,100,-1.01,-4.79
A24,102,-2.65,-6.17
A24,104,-1.69,-11.33
A24,108,-2.19,-6.06
A24,110,-0.62,-6.47
A24,112,-1.79,-11.40
A24,120,-2.28,-5.42
A24,128,-0.96,-5.58
A24,140,-1.68,-7.21
A24,142,-1.74,-9.41
A24,144,-1.08,-7.64
A24,146,0.24,-6.72
A24,150,-1.16,-5.90
A24,151,-0.17,-4.29
A24,151,-0.77,-5.46
A24,152,-0.13,-4.00
A26,1,5.00,-3.01
A26,2,5.40,-3.97
A26,3,6.04,-4.04
A26,4,5.85,-4.32
A26,5,4.80,-4.01
A26,6,5.98,-3.46
A26,7,5.68,-4.69
A26,8,4.11,-4.19
A26,9,2.19,-5.05
A26,11,0.15,-5.21
A26,13,0.67,-5.38
A26,15,0.08,-5.52
A26,17,0.14,-5.14
A26,19,0.95,-4.68
A26,21,2.10,-4.65
A26,22,1.29,-6.59
A26,23,2.15,-4.76
A26,24,2.12,-4.74
A26,26,1.72,-5.78
A26,27,1.28,-4.40
A26,27,5.41,-4.16
A26,28,1.22,-4.65
A26,29,1.20,-4.25
A26,40.5,0.41,-4.08
A26,43.5,2.50,-4.73
A26,45,3.01,-3.85
A26,45,3.34,-3.94
A26,45,3.24,-4.23
A26,49,2.82,-3.99
A26,49,8.71,-0.08
A26,49,1.93,-5.20
A26,53,2.78,-2.71
A26,57,3.30,-3.97
A26,57,3.45,-4.12
A26,57,3.33,-4.79
A26,68,2.60,-4.49
A26,68,2.79,-4.36
A26,69.5,1.19,-5.26
A9,72.5,-2.45,-8.52
A1,132.0,-1.60,-5.59
A19,183.0,-0.36,-2.34
A19,189.0,6.68,-0.34
A22,119.5,1.43,-5.14
A24,124,-1.94,-2.39
A26,0.0,4.58,-3.67
A1,9.0,-7.15,-7.45
A1,132,-1.63,-5.48
A1,162,0.99,-6.75
A11,11.5,-0.06,-10.44
A11,13.5,-0.18,-10.98
A11,13.5,-1.03,-9.58
A11,15.5,-0.27,-7.82
A16,11,-3.42,-8.16
A16,13.5,-2.50,-8.50
A16,15.3,-2.38,-7.71
A16,19,-2.05,-6.69
A16,20,-1.71,-6.52
A16,21,-2.15,-6.92
A16,23,-0.92,-5.65
A16,24,-1.62,-6.58
A16,25,-1.64,-5.88
A16,26,-1.30,-5.40
A16,27.6,-1.84,-7.53
A16,28.6,-1.12,-6.33
A16,29.2,-1.18,-6.38
A16,34,-4.46,-7.78
A17,39,5.28,-1.64
A17,40.5,5.19,-1.68
A17,42,5.65,-1.91
A17,43,4.03,-2.25
A17,45,5.50,-1.71
A17,52,3.79,-2.53
A17,54,4.35,-2.01
A17,55,3.21,-3.09
A17,57,3.37,-5.09
A17,58,3.40,-3.12
A17,59,2.93,-4.40
A17,60,3.98,-2.80
A17,61,3.68,-3.16
A17,62,4.13,-2.99
A17,63,4.03,-2.62
A17,64,3.16,-4.16
A17,65,4.22,-3.05
A17,66,4.14,-3.70
A17,67,3.27,-5.64
A17,68,3.99,-5.12
A17,85,2.61,-6.50
A17,89,2.99,-6.47
A17,89,3.35,-5.47
A17,89,3.03,-4.72
A17,91,1.61,-9.03
A17,92,1.67,-6.20
A17,93,-2.06,-5.44
A17,95,0.83,-5.70
A18,0,2.73,-4.42
A18,27,-0.90,-7.83
A19,163,-2.30,-4.12
A19,187.5,1.53,-3.76
A24,13,4.57,-4.70
A24,20,5.88,-2.49
